Id_Available,Id_Cryptocurrency,Id_Platform,Available_suppy
1,0,0,"35,733"
2,0,0,"1,929,590"
3,0,0,"14,147"
4,0,0,"1,188,058"
5,0,0,"30,083"
6,0,1,53.082958
7,0,1,"349,243"
8,0,1,"363,799"
9,0,0,"74,692,738"
10,0,0,"4,233,193"
11,0,0,"4,551,861"
12,0,0,"1,609,550"
13,0,0,"4,534,904"
14,0,0,"70,067,100"
15,0,0,"2,107,867,331"
16,0,0,"191,654,469"
17,0,0,"1,320,079"
18,0,0,"94,173,778"
19,0,0,"13,392,450"
20,0,0,"16,274,142"
21,0,0,"631,181"
22,0,0,"11,719,011"
23,0,0,0
24,0,0,"388,404,998"
25,0,0,"901,300"
26,0,0,"97,603"
27,0,0,"6,441,300"
28,0,0,"184,065,490"
29,0,0,"1,624,619"
30,0,0,"155,062"
31,0,0,"6,826,730"
32,0,0,"4,001,002"
33,0,0,"2,647,484"
34,0,0,"4,607,050"
35,0,0,"500,000,000"
36,11,0,"150,530"
37,37,0,"1,957,771,777"
38,50,0,"1,471,853"
39,77,0,"6,481,010,000"
40,80,0,"1,613,608"
41,84,0,"17,388,102"
42,101,0,"843,640,253"
43,145,0,"186,854,501"
44,152,0,"541,329,584"
45,156,0,"197,281,410"
46,157,0,"25,967"
47,167,0,"10,825,202"
48,172,0,"54,774,808,379"
49,181,0,"332,373"
50,182,0,"80,058,305,254"
51,187,0,"91,863,135"
52,188,0,"3,667,464"
53,191,0,"14,397,760,993"
54,196,0,"29,499,715"
55,208,0,0
56,235,0,"82,468,900,621"
57,247,0,"71,213"
58,248,0,"5,045,661"
59,256,0,"29,030,371"
60,261,0,"1,568,026"
61,274,0,"45,539,474,247"
62,296,0,"17,508,028"
63,304,0,"290,690,990,080"
64,308,0,"92,181,351"
65,309,0,"94,306,163,777"
66,314,0,"108,414,788"
67,325,0,"4,986,132,648"
68,330,0,"16,963,625,470"
69,339,0,"145,127,936"
70,340,0,"392,877"
71,353,0,"33,400,428"
72,357,0,"112,564,638"
73,395,0,"50,722,929"
74,397,0,"1,006,746"
75,399,0,"96,132,539"
76,400,0,"58,175,330"
77,401,0,"280,846,322,360"
78,408,0,"56,230,509,048"
79,412,0,"76,035,300"
80,413,0,"212,278,585"
81,416,2,"1,000,000,000"
82,420,0,"290,140"
83,422,0,"45,962,594"
84,424,0,"50,047,628"
85,433,0,"98,340,648"
86,452,0,"55,596,638"
87,459,0,"32,782,322"
88,462,0,"12,792,032"
89,469,0,"357,789,025"
90,471,0,"32,529,168"
91,473,0,"51,878,020"
92,477,0,"66,699,828"
93,488,0,"127,702,746"
94,495,0,"6,744,325"
95,499,0,"39,760,335,000"
96,502,0,"4,104,510"
97,504,0,"3,407,421"
98,505,0,"28,416,784"
99,506,0,"20,487,149"
100,522,0,"90,594,634,253"
101,534,0,"16,039,206"
102,539,0,"20,999,906"
103,546,3,"100,000"
104,548,0,0
105,549,0,"12,346,704"
106,551,0,"63,071,324,065"
107,559,0,"23,005,497,224"
108,563,0,"1,731,078"
109,585,0,"176,737"
110,587,0,"32,976,101"
111,594,0,"14,491,014,421"
112,603,0,"1,867,960"
113,605,4,"452,552,412"
114,609,0,"8,350,750"
115,613,0,"36,679,163"
116,614,0,"558,523,100"
117,616,0,"25,697,150"
118,626,0,"1,721,350"
119,632,0,"20,075,382,121"
120,641,0,"13,071,900"
121,642,0,"4,076,538"
122,648,0,"186,776,854,752"
123,651,0,"4,503,880"
124,658,0,"10,065,900"
125,663,0,"2,158,950"
126,664,0,"307,449,213"
127,671,0,"97,307,606,333"
128,675,0,"2,017,710,000"
129,678,0,"846,792"
130,679,0,"6,280,455"
131,683,0,"999,997,096"
132,684,0,"138,398,124"
133,691,0,"32,062,511"
134,697,0,"14,986,321"
135,701,0,"1,697,226"
136,718,0,"21,814,435"
137,721,0,"67,168,863"
138,722,0,"61,290,025"
139,724,0,"21,161,350"
140,725,0,"3,381,575,359"
141,727,0,"473,659,201"
142,729,0,"364,188,086"
143,736,0,"11,003,168"
144,747,0,"157,182,120"
145,752,0,"7,495,849"
146,770,0,"10,000,000,000"
147,775,0,"248,304,414"
148,776,0,"2,000,086"
149,777,0,"942,032"
150,783,0,"97,694,051,467"
151,794,0,"45,943,238"
152,795,0,"27,355,037,508"
153,806,0,"7,121,275"
154,809,0,"28,989,252,282"
155,814,0,"138,263"
156,820,0,"22,474,900"
157,835,0,"2,268,625"
158,839,0,"82,504,151"
159,840,0,"353,841,668"
160,841,0,"6,440,274"
161,853,0,0
162,860,0,"15,753,430"
163,867,0,"33,228,631"
164,878,0,"11,977,482"
165,885,0,"3,993,235"
166,887,0,"21,144,496"
167,890,0,"1,417,491,050"
168,892,0,"1,433,583"
169,904,0,"14,739,465"
170,911,0,"1,164"
171,915,0,"373,634,483"
172,917,0,"2,071,116"
173,923,0,"2,875,924"
174,925,0,"6,614,136"
175,926,0,"60,552,166"
176,933,0,0
177,934,0,"5,367,002"
178,939,0,"23,302,313"
179,946,0,"49,493"
180,949,0,"4,133,930,001"
181,951,0,"12,668,702"
182,955,0,"30,959,343"
183,961,0,"21,212,867"
184,962,0,"1,632,650"
185,970,0,"191,858"
186,973,0,"873,436"
187,974,0,"956,351,793"
188,978,0,"1,501"
189,982,0,"18,109,080"
190,985,0,"26,883,278"
191,990,0,"8,774,850"
192,991,0,"11,595,270"
193,995,0,"9,440,193,752"
194,998,0,"1,117,567"
195,1016,0,"22,574,263"
196,1018,0,"303,463,322"
197,1024,0,"66,038,879"
198,1029,0,"5,549,724"
199,1037,0,"29,211,692"
200,1045,0,"27,150,028,368"
201,1050,0,"161,028,775"
202,1057,0,"75,737,672"
203,1058,0,140
204,1059,0,"576,390"
205,1060,0,0
206,1061,0,"70,855,678"
207,1062,0,"7,109,983"
208,1063,0,"24,726,090"
209,1064,0,0
210,1065,0,0
211,1066,0,"6,088,386"
212,1067,0,"21,149,605"
213,1068,0,"538,053,251"
214,1069,0,"5,486,976"
215,1070,0,"60,552,166"
216,1071,0,"36,458,386"
217,1072,0,"269,280"
218,1073,0,0
219,1074,0,"4,746,538"
220,1075,0,"1,999,883,512"
221,1076,0,"1,760,762"
222,1077,0,"2,586,882"
223,1078,0,"2,058,600,050"
224,1079,0,"1,272,422"
225,1080,0,"3,775,303"
226,1081,0,"767,911"
227,1082,0,"56,072,160"
228,1083,0,"2,312"
229,1084,0,"2,665,439"
230,1085,0,"9,286,000"
231,1086,0,"1,870,379"
232,1087,0,0
233,1088,0,"896,905"
234,1089,0,"2,181,453"
235,1090,0,"3,139,290"
236,1091,0,0
237,1092,0,"40,931"
238,1093,0,"955,276"
239,1094,0,"163,801,851,968"
240,1095,0,"6,512,340,676"
241,1096,0,"516,550"
242,1097,0,"31,094,206"
243,1098,0,"3,299,469"
244,1099,0,"10,026,047"
245,1100,0,"3,746,921"
246,1101,0,"88,538,349,156"
247,1102,0,"6,004,132"
248,1103,0,0
249,1104,0,"100,000,000"
250,1105,0,"14,327,330"
251,1106,0,"10,918,950"
252,1107,0,"3,706,927"
253,1108,0,"323,268,148"
254,1109,0,"897,764"
255,1110,0,"100,000"
256,1111,0,0
257,1112,0,"1,713,492"
258,1113,0,"7,903,820,000"
259,1114,0,"21,906,864"
260,1115,0,"89,091,018"
261,1116,0,0
262,1117,0,"304,607"
263,1118,0,0
264,1119,0,"3,668,240"
265,1120,0,0
266,1121,0,"43,319,049,189"
267,1122,0,"1,307,265"
268,1123,0,"67,535,492"
269,1124,0,"17,769,628"
270,1125,0,"30,003,590"
271,1126,0,"1,000,000"
272,1127,0,"686,736"
273,1128,0,"1,074,409"
274,1129,0,"226,116,060"
275,1130,0,0
276,1131,0,"44,707,628"
277,1132,0,"735,422"
278,1133,0,0
279,1134,0,"30,825,650"
280,1135,0,"2,276,260"
281,1136,0,"6,400,160"
282,1137,0,"5,830,052,550"
283,1138,0,"406,548,474"
284,1139,0,"88,222,844"
285,1140,0,"12,473,553,843"
286,1141,0,"53,052,000"
287,1142,3,"1,000,000"
288,1143,0,"5,328,724,923"
289,1144,0,"13,715,800"
290,1145,0,"7,320,629"
291,1146,0,"17,166,914"
292,1147,0,"15,322,977,853"
293,1148,0,"4,963,582"
294,1149,0,0
295,1150,0,"16,512,528"
296,1151,0,"10,000,000"
297,1152,2,"148,072,859"
298,1153,0,"17,772,448"
299,1154,0,"257,833,791"
300,1155,0,0
301,1156,0,0
302,1157,0,"9,279,940"
303,1158,0,"28,489,184,751"
304,1159,0,"75,556,151"
305,1160,0,"195,445"
306,1161,0,"2,130"
307,1162,0,"4,557,694"
308,1163,0,"2,213,125"
309,1164,3,"1,000,000"
310,1165,0,"625,915,000"
311,1166,0,"10,000,000,000"
312,1167,0,"6,150,310"
313,1168,0,"278,756,218"
314,1169,0,"11,033,099"
315,1170,0,"1,000,000,000"
316,1171,3,"720,000"
317,1172,3,"1,000,000"
318,1173,3,"673,420"
319,1174,3,"610,000"
320,1175,3,"750,057"
321,1176,3,"1,000,000"
322,1177,3,"816,061"
323,1178,3,"1,000,000"
324,1179,3,"400,001"
325,1180,3,"100,000"
326,1181,3,"990,100"
327,1182,3,"1,339"
328,1183,0,"16,925,989"
329,1184,0,"4,740,162"
330,1185,0,"52,748,328"
331,1186,0,"2,045,550"
332,1187,0,"329,307"
333,1188,0,"16,340,117,070"
334,1189,0,"19,999,273"
335,1190,0,"10,246,150"
336,1191,0,"2,237,262"
337,1192,0,"52,516"
338,1193,0,0
339,1194,0,"29,211,409"
340,1195,0,"503,842"
341,1196,0,"1,999,758"
342,1197,0,"5,324,950"
343,1198,0,"15,549,376"
344,1199,0,"7,867,810"
345,1200,0,"800,001,844"
346,1201,0,"713,120"
347,1202,0,"1,274,111"
348,1203,0,"19,594,052"
349,1204,0,"7,356,751"
350,1205,0,"15,500,532"
351,1206,2,"41,469,270"
352,1207,0,"3,893,400"
353,1208,0,"32,258,331,854"
354,1209,0,"23,696,896"
355,1210,0,"98,628"
356,1211,0,"8,388,608"
357,1212,0,"884,686"
358,1213,0,"40,057,584"
359,1214,0,0
360,1215,0,"76,687,837"
361,1216,0,0.9178677
362,1217,0,"13,160,048"
363,1218,0,"14,639,403"
364,1219,4,"3,000,000"
365,1220,0,"98,528,050"
366,1221,0,"6,118,900"
367,1222,0,"2,427,600"
368,1223,0,"1,000,000,000"
369,1224,0,"5,211,477"
370,1225,0,"22,715,649"
371,1226,0,"714,506,932"
372,1227,0,"11,364,114"
373,1228,0,"10,583,450"
374,1229,0,"15,089,019"
375,1230,0,"544,152,914"
376,1231,0,"143,487,820"
377,1232,0,"99,976,323"
378,1233,0,0
379,1234,0,"312,889,440,517"
380,1235,0,"1,057,344,896"
381,1236,0,"104,047,705"
382,1237,0,"4,102,283"
383,1238,0,"3,966,286"
384,1239,0,"4,756,282"
385,1240,0,"1,532,009"
386,1241,0,"1,148,800"
387,1242,0,"13,159,638"
388,1243,0,0
389,1244,0,"1,764,950"
390,1245,0,"2,680,316"
391,1246,0,"4,739,750"
392,1247,0,"4,064,385"
393,1248,0,"9,369,021"
394,1249,0,0
395,1250,0,"76,934,102,490"
396,1251,0,"625,428"
397,1252,0,"6,578,930"
398,1253,0,"1,177,680"
399,1254,0,"7,374,655"
400,1255,0,"14,894,955"
401,1256,0,"1,901,028"
402,1257,0,"30,955,888"
403,1258,0,"970,635,753"
404,1259,0,"20,189,820"
405,1260,0,"4,508,409"
406,1261,0,"4,461,719"
407,1262,0,"20,354,389"
408,1263,0,"8,818,764"
409,1264,0,"13,184,710"
410,1265,3,"10,000,000"
411,1266,0,"11,528,474"
412,1267,0,72.18311
413,1268,0,0
414,1269,0,0
415,1270,0,"9,748,354"
416,1271,0,"5,115,468"
417,1272,0,"1,371,497"
418,1273,0,"78,476,812"
419,1274,0,"6,503,776"
420,1275,0,"7,301,353"
421,1276,0,"563,162"
422,1277,0,"2,013,954"
423,1278,0,"27,214,792"
424,1279,0,"5,289,253"
425,1280,0,"210,545,045"
426,1281,0,"5,000,000,000"
427,1282,0,"5,626,410"
428,1283,0,"2,251,240"
429,1284,0,"2,477,481"
430,1285,0,"1,000,000,000"
431,1286,3,775
432,1287,0,"60,205,000"
433,1288,0,"169,950,240"
434,1289,0,"11,673,116"
435,1290,0,"998,544,887"
436,1291,0,"65,194"
437,1292,0,"125,246,270"
438,1293,0,"364,526"
439,1294,0,"43,273,996"
440,1295,0,0
441,1296,0,"48,637,906"
442,1297,0,"11,668,899"
443,1298,0,"10,756,978,203"
444,1299,0,"301,430,060"
445,1300,0,"330,260"
446,1301,0,"25,929"
447,1302,0,0
448,1303,0,"420,570"
449,1304,0,"69,053,221"
450,1305,0,"2,957,600"
451,1306,0,"907,770"
452,1307,0,"1,000,514,920"
453,1308,0,"55,350"
454,1309,0,0
455,1310,0,"2,155,218"
456,1311,0,"42,231,334"
457,1312,0,"17,352,849"
458,1313,0,"11,262,360"
459,1314,0,"2,435,681"
460,1315,0,"103,836,197"
461,1316,0,"4,228,149"
462,1317,0,"36,539,266"
463,1318,0,"3,914,607"
464,1319,0,"6,838,448"
465,1320,0,"1,618,027"
466,1321,0,"7,848,777"
467,1322,0,"167,390,163"
468,1323,0,"21,643,530,660"
469,1324,0,"375,894"
470,1325,0,0
471,1326,0,"27,008,857"
472,1327,0,"1,935,941"
473,1328,0,"1,145,647"
474,1329,0,"728,360"
475,1330,0,"9,953,651"
476,1331,0,"1,661,342"
477,1332,0,0
478,1333,0,"187,456"
479,1334,0,"5,939,986"
480,1335,0,"2,187,892"
481,1336,0,"1,518,988"
482,1337,0,0
483,1338,0,"57,142,815"
484,1339,0,"1,086,561"
485,1340,0,0
486,1341,0,"792,193"
487,1342,0,"101,298"
488,1343,0,"40,076,558"
489,1344,0,"915,703"
490,1345,0,"518,686"
491,1346,0,"10,016,192"
492,1347,0,"5,777,447"
493,1348,0,"4,610,278"
494,1349,0,"1,905,156"
495,1350,0,"186,567,747"
496,1351,0,"21,413,349"
497,1352,0,"1,137,881"
498,1353,0,100
499,1354,0,"16,689,324"
500,1355,0,"1,075,900"
501,1356,0,"1,120,976"
502,1357,0,0
503,1358,0,"16,188,521"
504,1359,0,"113,870,604"
505,1360,0,"15,316,019"
506,1361,0,"1,644,043"
507,1362,3,"3,000,000"
508,1363,0,"8,341,299"
509,1364,0,"43,462,144"
510,1365,0,0
511,1366,0,"66,876,281,414"
512,1367,0,0
513,1368,0,"129,085,000"
514,1369,0,"1,969,847"
515,1370,3,"550,000,000"
516,1371,0,"30,083,791"
517,1372,0,"89,328,800"
518,1373,0,"27,996,598"
519,1374,2,"100,000,000"
520,1375,0,"579,834"
521,1376,0,0
522,1377,0,"26,942,938"
523,1378,0,0
524,1379,0,0
525,1380,0,0
526,1381,0,0
527,1382,0,0
528,1383,0,"21,246,106"
529,1384,0,0
530,1385,0,0
531,1386,0,"30,000,000"
532,1387,0,0
533,1388,0,0
