Firm_Name,Address,Id_City
1confirmation,459 Hamilton Avenue,1
360 Blockchain,"Suite 734, 1055 Dunsmuir Street",2
3iQ,"4800-1 King Street West, Box 160",3
8 Decimal Capital,2140 Columbia Street,1
AI8 Ventures,"201 Spear Street, Suite 1100",4
Akuna C apital,"333 South Wabash Avenue, 26th Floor",6
Algo Depth LP,"1 Broadway, 14th Floor",7
Algo.Land,8104 Weiningen B.,8
All in One Coin,"Office 302, Dominion Center",9
Alluminate,1440 G Street NW,10
Alphabit Fund,0,11
Alphacoin Capital,1849 N. Lincoln Avenue,6
AlphaLedger,"Rua Fausto Fressato, 1249",12
Altana Wealth,33 Avenue St Charles,13
AltMoneyFund,12011 11th Street,15
Amber AI Group,"3003, Block 9A, Shenzhenwan Science and Technology Ecological Garden",16
AME Cloud Ventures,455B Portage Ave.,1
Amentum Investment Management,0,4
Amplify ETFs,310 S. Hale Street,17
Andreessen Horowitz,"2865 Sand Hill Road, Suite 101",18
Apex Token Fund,0,4
Apollo Capital,0,19
Aquiline Technology Growth,535 Madison Avenue,5
Arbidex,85 Great Portland Street,14
Arrington XRP Capital,"113 Cherry Street, #52895",20
Astronaut Capital,"5.02, 8 Claymore Hill",21
Atomic Fund,"One Letterman Drive, Building C, Suite 3500",4
Authorito,0,1
AVG Blockchain,"201 Jones Road, Suite 130",22
AX Momentum LP,"9465 Counselors Row, Suite 200",23
Backstage Capital,925 North La Brea Avenue,24
Bain Capital,200 Clarendon Street,25
BB Fund,Blk 79m Ayer Rajah Crescent #05-08,21
Beam Capital Management,48 Wall Street,5
Bessemer Venture Partners,"535 Middlefield Road, Suite 245",18
Binary Financial,"1685 H Street, #1277",26
BitBull Capital,2261 Market Street #537,4
Bitcoin Investment Fund Inc.,"424 Church Street, Suite 2000",27
Bitcoin Suisse,"Industriestrasse 16, Park Residence",28
Bitfin Capital,"795 Folsom Street, Suite 100",4
Bithub.Africa,2nd Floor Timau Plaza,29
BitSpread London,"Pavilion, 96 Kensington High Street",14
BitSpread New York,"One World Trade Center, Suite 8500",5
BitSpread Singapore,"Level 24-01, CapitaGreen",21
Bitwise Asset Management,1159 Masonic Avenue,4
BKCM LLC,300 Park Avenue,5
Black Hole Capital,"1501, Block A, Tower A, International Trade Center",30
Black Square Capital,1015 15th St NW #600,10
Blackmoon Crypto,"Agiou Athanasiou, 58, EL GRECO, Office 201, 410",31
Bletchley Park Asset Management,"89 Nexus Way, Camana Bay",32
Block Bits Capital,3563 Pierce Street,4
Block Venture Project,Kemp House 152-160 City Road,14
Block View Capital,6520 N. Tower Circle Drive,33
Blockchain Capital,"One Ferry Building, Suite 255",4
Blockchain Momentum LP,"9465 Counselors Row, Suite 200",23
Blockchain Strategies Fund,"30, Blvd. Royal",34
BlockFace Capital Management,12 Grosvenor Place,14
Blocklink Ventures,20 River Court,35
Blockpoint Capital,313 Merrilee Place,36
BlockRidge Capital,1501 Lewis Drive,37
BlockTerra Capital,0,38
Blocktower Capital Advisors,"65 High Ridge Road, Suite 318",39
Blocktrade Capital,"11755 Wilshire Blvd., Suite 1250",40
Blocktree Capital,56 East 3rd Avenue,41
BlockWealth Capital,0,43
Blockweather Holdings,8 The Green Suite 6338,44
BlueYard Capital,Grimmstraﬂe 13,45
Boost VC,55 East 3rd Avenue,41
BullCoin Gold,0,21
C2 Ventures,"99 Warren Street, Suite 71",5
Calibrate Management,60 Gresham Street,14
Cambrian Asset Management,"157 Throckmorton Avenue, Suite D",46
Castle Fund Partners,"3697 Mt. Diablo Blvd., Suite 175",47
Catena Capital,Zimmerstr. 11,45
Chain Logic Fund,"190 Pierce Street, Suite 204",48
ChainLink Crypto Fund,5440 Roberts Avenue,49
Chromatic Capital Management,"8 10th Street, #3201",4
Coefficient Ventures,"424 Clay Street, Lower Level",4
Coin Capital,"600 17th Street, Suite 2800",50
Coinbase Index Fund,One Front Street,4
Coinsilium,32 Threadneedle Street,14
Colorado Blockchain Capital,"1001 Bannock Street, Suite 309",50
Columbus Capital,"10 Orange Street, Haymarket",14
Consensys Ventures,0,4
Core Innovation Capital,"1680 Vine Street, Suite 606",40
COSIMO Ventures,"535 Boylston Street, Sixth Street",25
Countinghouse Fund,PO Box 53,51
Coventure VC,156 Fifth Avenue,5
Crescent Crypto,35 W. 50th Street,52
CrowdWiz,0,53
Crypto 20,0,54
Crypto Alpha,36 Atlantic Street,44
Crypto Asset Management,"1010 Pearl Street, Suite 2",55
Crypto Assets Fund,"Floor 2, Romasco Place, Waterfront Drive",56
Crypto Bazar,"Barclay Plaza Business Center Bldg. 5, 6 Barklaya St",57
Crypto Brain LTD,"Fernwood House, Fernwood Road Jesmond",14
Crypto Digital Holdings LP,1363 Shermer Road,58
Crypto Finance,Gotthardstrasse 28,28
Crypto Fund,0,53
Crypto Futura Fund,"1101 W. Lake Street, Suite 200",6
Crypto Improvement Fund,"125-720 King Street West, Suite 2000",3
Crypto Lotus,2135 Oregon Street,59
CryptoComm Partners Management,"2 Harrison Street, Suite 180",4
CryptoCurrency Fund LP,"6350 S Riley Street, #323",60
Cryptofondo,Lisboa 300 Torreon,61
CryptoIndex Capital Management,"548 Market Street, #24149",4
CryptoLux Capital,14851 Sobey Road,62
Cryptomerian,589 Free Harbor & Area,63
Crypton Capital,95 Pelham Street,64
Crypton Venture Capital,Harju maakond,65
CryptoSky,207 Regent Street,14
CS&P,Bahnhofstrasse 100,8
Cyber Capital,Herengracht 416,66
DDF Asset Ltd.,"89 Nexus Way, Camana Bay",32
Dekrypt Capital,"2512 Telegraph Avenue, Suite 250",59
DFJ Growth,"2882 Sand Hill Road, Suite 150",18
DigiCor,1550 7th Street NW,10
Digital Asset Fund,"Folio Chambers, PO Box 800",56
Digital Currency Group,"636 Avenue of the Americas, 6th Floor",5
DigitalX Fund Management,"Level 1, 201 Adelaide Terrace",67
Distributed Alpha,"65 Hopton Street, Flat 301 Hopton Street",14
Distributed Global,"607 North Doheny Drive, Suite C",68
Diversacoin Capital,"11801 Domain Blvd., 3rd Floor",69
DNA.fund,0,70
Draper Dragon,3102 Wheelock Square,71
Draper Esprit,20 Garrick Street,14
DRW Venture Capital,"540 Madison Street, Suite 2500",6
D'Souza Roppel Management,"100 S. Prospect Avenue, 2nd Floor",72
Element Capital Group,"406 Broadway, #240",73
Elpis Investments,Baarerstrasse 25,28
ETF Momentum Investing,"9465 Counselors Row, Suite 200",23
Exante,1 Fore Street,14
Exigent Capital,0,6
Fabric Ventures,23 Berkeley Square,14
FBG Capital,0,30
Fenbushi Capital,Lujiazui Road 99,71
Finch Capital,Concertgebouwplein 9,66
Finshi Capital,Suntec Tower Temasek Blvd.,21
First Bitcoin Capital Corp,"Royal Centre, Suite 1500 ",2
First Block Capital,2600-1055 West Georgia Street,2
FirstChain Capital,0,3
FirstMark Capital,100 5th Avenue,5
FISCO,2F Costume National Aoyama Complex ,74
Flint Capital,1 Broadway,25
Flipside Crypto,0,25
Foundation Capital,250 Middlefield Road,18
Founders Fund,1 Letterman Drive Building D,4
Fractal Investments,"One Sansome Street, Suite 1895",4
Full Node Capital,"350 Park Avenue, 13th Floor",5
Full Tilt Capital,"5 West Hargett Street, Suite 1101",75
Fund3,2661 Magnolia Avenue,40
Funders Club,"237 Kearney Street, #424",4
Future Perfect Ventures,"270 Lafayette Street, Suite 610",5
GABI,"Forum 3, Green Street",76
Galaxy Capital Partners,0,4
Galaxy Digital Assets Fund,"107 Grand Street, 7th Floor",5
General Catalyst,"20 University Road, 4th Floor",7
General Crypto,"30725 US Highway 19 N, Suite 140",77
Genesis Block Capital,"1050 17th Street, Unit 304",4
Granite Bedrock Capital Fund,"1161 Mission Street, #520",4
Grasshopper Capital,7 Hunt Court,78
Grayscale,"636 Avenue of the Americas, 6th Floor",5
GreenHouse Capital,"Unit 2, Alma 2, Richmond Gate",79
Hard Yaka,"717 Market Street, Ground Floor",4
Hashed,464 Gangnam-daero,80
Hazoor GP,"201 West 5th Street, 11th Floor",69
Helvetic Investments,39B Circular Road,21
Heymeyer,"601 S. LaSalle Street, Suite 200",6
How 2 Ventures LLC,"949 Fell Street, #10",4
HyperChain Capital,0,21
INBlockchain,ABM Corporate Services,56
Incrementum AG,Im alten Riet 102,81
Innovation Endeavours,1845 El Camino Real,1
Intrepid Ventures,40-44 Bonham Strand,9
InvestX,Suite 1625†- 1185 West Georgia Street,2
Iterative Instinct Capital,"226 East 54th Street, 2nd Floor",5
IVP,"3000 Sand Hill Road, Suite 2-250",18
JD Capital,"Building 8, Yangshan Park,No. 30 Anli Road",30
June Fund,Charlottenstr. 24,45
Kenetic Capital,"7R, Centre Hollywood ñ 151 Hollywood Road, Sheung Wan",9
Khosla Ventures,2128 Sand Hill Road,18
Kit Trading,8 Eu Tong Sen Street,21
Korelya Capital,87 rue RÈaumur,82
Krypton Capital,"17th Floor, Leonardo Business Center",83
Kryptonite1 PLC,4th floor Queen Victoria House,84
LDGR Capital Management,2420 17th Street,50
LDJ Capital,"20/F East Tower, World Finance Center 1",30
LedgerFund,0,86
Libertus Capital,16 Berkeley Street,14
Liberty City Ventures,"140 East 45th Street, 17th Floor",5
Life.SREDA,"Blk 79, Ayer Rajah Crescent #05-08",21
Lightspeed China Partners,"21/F, Suite 2105, Platinum Building",71
Lightspeed Venture Partners,2200 Sand Hill Road,18
Logos Capital,Neuhauser Strabe 17,87
LUN Partners Capital,"333 Middle Huaihai Rd, Ste 1502",71
Lunar Digital Assets,0,88
Lvna Capital,Av. Javier Barros Sierra #540,89
Magnet Capital,0,90
Managed Block Capital,"182 Howard Street, #305",4
Matrix Partners,"101 Main Street, 17th Floor",25
Medici Ventures,799 West Coliseum Way,91
Metastable,0,4
Miller Value Partners,"One South Street, Suite 2550",92
Morgan Creek Capital,"301 West Barbee Chapel Road, Suite 200",93
Mosaic Ventures,Grafton House,14
MT Digital Assets,0,40
Multicoin Capital,"701 Brazos, Suite 1616",69
Mutual Coin Fund,9573 Highland Green Drive,94
MyBit,Grabenstrasse 25,95
Napoleon Capital,73 rue LÈon Bourgeois,96
Nash Ventures,"269, 2nd Floor, Jwala Mills Rd",86
Neufund,Cuvrystr. 4,45
Neural Capital,"665 3rd Street, Suite 150",4
Next Generation Fund,2nd Terrace West,97
Node Capital,0,30
Numerai LLC,"101 California Street, Suite 3125",4
OC Horizon FinTech,4 Shenton Way,21
Outlier Ventures,3 Churchgates,98
Palmy Fund,"4675 MacArthur Court, Suite 1470",70
Pantera Capital,"3000 Sand Hill Road, Suite 1-235",18
Plutus 21,"3100 Carlisle Street, Unite #12114",99
Point Nine Capital,Chausseestraﬂe 19,45
Pollinate Capital,"3333 Piedmont Road NE, Suite 2050",100
Polychain Capital,2771 23rd Street,4
Polymbios Investment Management,"300 Park Avenue, 12th Floor",5
Prasos OY,Lutakonaukio 7,101
Prime Factor Capital,0,14
Private Key Capital,"135 East 57th Street, 6th Floor",5
Protocol Capital Management,"665 3rd Street, Suite 150",4
Pure Crypto,"460 North Main Street, Suite 304",102
Quadarch,0,103
Reality Shares,"402 W. Broadway, Suite 2800",38
Renovatio PR,"Piloto 151 Santurce Suites, 4th Floor Suite 11",104
Rex Capital Management,44 Post Road West,105
Rhapsody Ventures,"229 E. Java Drive, 61615",106
Ribbit Capital,364 University Avenue,1
Right Side Capital Management,"649 Mission Street, 5th Floor",4
Rising Tide Fund Managers ,"101 Mission Street, Suite 380",4
Rivemont,"160 boul. de líHÙpital, Suite 202",107
RRE Ventures,"130 E 59th Street, #17",5
Saffron Labs,72 Cannon Street,14
SALT Blockchain Asset Partners,"1875 Lawrence Street, Suite 1100",50
Satoshi Fund,"23 East 22nd Street, Unit 27A",5
SBI Investment,19th Floor Izumi Garden Tower,74
Scalar Capital,"580 California Street, Suite 516",4
Scale-Up Capital,2916 Ramona Street,1
Science Inc.,"1447 2nd Street, Suite 200",73
Sequoia Capital,"2800 Sand Hill Road, Suite 101",18
Serrada Capital,"300 Carnegie Center, Suite 150",108
Sharpe Capital,"14/F Manning House, 34-48 Queens Road Central",9
Shuttle Fund,"545 Fifth Avenue, Suite 831",5
Silver 8 Capital,2 High Ridge Park,39
Singulariteam ,"Berkovitz 4, 18 Floor",109
SolidX,"200 Park Avenue, 17th Floor",5
Sora Ventures,0,9
SparkChain Capital,3587 Lupin Avenue,1
SPiCE Venture Capital,55 Bustanai Street,110
Starchain Capital,11975 Crest Place,68
Starta Accelerator,"220 East 23rd Street, #500",5
Stonegate Digital Capital Group,"3333 Piedmont Road NE, Suite 2050",100
Streamlined Ventures,0,1
SV Angel,"588 Sutter Street, #299",4
SVK Crypto,125 Old Broad Street,14
Symmetry Fund,3 Edward Street,54
Synapse Capital,2443 Fillmore Street,4
Synchronicity,"199 Pierce St, Suite 204B",48
Syntrina Capital,"150 West Market Street, Suite 800",23
Systematic Alpha Management LLC,"152 W. 57th Street, Floor 10",5
TaaS Fund,"22 North Canal Road, Level 2",21
Tetras Capital,"34 Desbrosses Street, Apt. 915",5
The Cryptos Fund,Gotthardstrasse 26,28
The Ilios Group,141 W. Jackson Suite 1710A,6
The Whittemore Collection,"4 International Drive, Suite 300",111
Tident Crypto Fund,Dragonara Business Centre,112
TMT Investments,Queensway House,76
Tobam,"12 East 49th Street, Suite 3603",5
TokenStack Partners,"1064 Ponce de Leon, 5th Floor",104
Trammell Ventures,"6001 West Parmer Lane, Suite 370-151",69
True Global Ventures,0,21
Typhon Capital Management,"190 South La Salle Street, Suite 3000",6
Unbank Ventures,1355 Market Street,4
Underscore VC,"45 School Street, 2nd Floor",25
Union Square Ventures,"915 Broadway, 19th Floor",5
Valor Equity Partners,"875 North Michigan Avenue, Suite 3214",6
Vega Fund,0,5
Venrock,"34 Farnsworth Street, 3rd Floor",25
Version One Ventures,407-1250 Homer Street,2
VIP CryptoCurrency Hedge Fund,Rue Arsene Houssaye,82
Virgil Capital,0,4
Vito Ventures,Bavariaring 26,87
Vulpes Investment Management,One George Street,21
Walden Bridge Capital,1259 W. Madison Street,6
Winklevoss Capital,0,5
